ObsNames_1,ObsNames_2,Pred,Ortho
Colon,HT29,0.019634069594754,0.249713637189041
Colon,HCC-2998,-0.141788510785474,-0.0425573106909753
Colon,HCT-116,-0.102145855099215,0.138084556787759
Colon,SW-620,-0.00916472674616893,0.0545793374436314
Colon,COLO 205,-0.208638510110777,0.124630880119807
Colon,HCT-15,-0.115250463686483,0.225639604453228
Colon,KM12,-0.134547425243546,-0.750090705302492
Ovarian,NCI/ADR-RES,0.169584736593916,-0.246527124390688
Ovarian,OVCAR-3,0.0607051325684293,-0.0143281645675335
Ovarian,OVCAR-4,0.0462299692131349,0.140410057028644
Ovarian,OVCAR-5,0.00598359339837837,0.196266649232766
Ovarian,OVCAR-8,0.11187233980192,-0.105371367738157
Ovarian,IGROV1,0.153886900609717,-0.262666321501886
Ovarian,SK-OV-3,0.143638749891413,0.292216271936856
